,,,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES
"DO NOT MODIFY THIS SHEET UNLESS IT IS NECESSARY!
Define in each cell whether the item on the line is compatible with the item of each column. 

WATCH OUT: the final table needs to be symetrical, 
e.g. with identical items in column B and line 3!
If the number of rows/columns changes, do not forget to modify the indices 
at the beginning of the 'Selection' macro!",,,What is your main objective?,What is your main objective?,What is your main objective?,What is your main objective?,What is your main objective?,What is your main objective?,What is your main objective?,What is the fraction of rhizodeposits you intend to collect?,What is the fraction of rhizodeposits you intend to collect?,What is the fraction of rhizodeposits you intend to collect?,What is the fraction of rhizodeposits you intend to collect?,What is the fraction of rhizodeposits you intend to collect?,What is the fraction of rhizodeposits you intend to collect?,What is the fraction of rhizodeposits you intend to collect?,What is the type of plant?,What is the type of plant?,What is the type of plant?,What is the type of plant?,What will be the age of the plant at the time of sampling?,What will be the age of the plant at the time of sampling?,What will be the age of the plant at the time of sampling?,Please select a climate control option:,Please select a climate control option:,Please select a climate control option:,Please select a climate control option:,Please define the growth substrate:,Please define the growth substrate:,Please define the growth substrate:,Please define the growth substrate:,Please define the growth substrate:,Please define the growth substrate:,Have you considered separating the roots from the growth substrate using a permeable mesh membrane?,Have you considered separating the roots from the growth substrate using a permeable mesh membrane?,Do you intend to grow plants in sterile conditions?,Do you intend to grow plants in sterile conditions?,Do you intend to irrigate and/or fertilize the plants?,Do you intend to irrigate and/or fertilize the plants?,Do you intend to irrigate and/or fertilize the plants?,Do you intend to irrigate and/or fertilize the plants?,Does the container cause any root physical constraints?,Does the container cause any root physical constraints?,Does the container cause any root physical constraints?,What is the material of the container?,What is the material of the container?,What is the material of the container?,What is the material of the container?,In which medium will the sample be collected?,In which medium will the sample be collected?,In which medium will the sample be collected?,Which technique do you intend to use for collecting the rhizodeposits?,Which technique do you intend to use for collecting the rhizodeposits?,Which technique do you intend to use for collecting the rhizodeposits?,Which technique do you intend to use for collecting the rhizodeposits?,Which technique do you intend to use for collecting the rhizodeposits?,Which technique do you intend to use for collecting the rhizodeposits?,Which technique do you intend to use for collecting the rhizodeposits?,Which technique do you intend to use for collecting the rhizodeposits?,Which technique do you intend to use for collecting the rhizodeposits?,Which technique do you intend to use for collecting the rhizodeposits?,Which type of extraction solution would you like to use to collect rhizodeposits?,Which type of extraction solution would you like to use to collect rhizodeposits?,Which type of extraction solution would you like to use to collect rhizodeposits?,What will be the duration over which sample will be collected?,What will be the duration over which sample will be collected?,What will be the duration over which sample will be collected?,What will be the duration over which sample will be collected?,What will be the type of materials used to collect rhizodeposits?,What will be the type of materials used to collect rhizodeposits?,What will be the type of materials used to collect rhizodeposits?,Do you intend to collect rhizodepositions in sterile conditions?,Do you intend to collect rhizodepositions in sterile conditions?,What is the type of sample you will analyze?,What is the type of sample you will analyze?,What is the type of sample you will analyze?,Will you prepare subsamples from the sample?,Will you prepare subsamples from the sample?,"Choose the temperature at which the sample will be immediately stored before further processing (e.g. centrifugation, filtration):","Choose the temperature at which the sample will be immediately stored before further processing (e.g. centrifugation, filtration):","Choose the temperature at which the sample will be immediately stored before further processing (e.g. centrifugation, filtration):","Choose the temperature at which the sample will be immediately stored before further processing (e.g. centrifugation, filtration):",Which type of sample processing will you consider?,Which type of sample processing will you consider?,Which type of sample processing will you consider?,Please define a centrifugation option:,Please define a centrifugation option:,Please define a centrifugation option:,Please define a filtration option:,Please define a filtration option:,Woud you like to concentrate or purify the sample?,Woud you like to concentrate or purify the sample?,Woud you like to concentrate or purify the sample?,Please choose a concentration technique:,Please choose a concentration technique:,Please choose a purification option:,Please choose a purification option:,Please choose a purification option:,Please choose an additional concentration option (if required):,Please choose an additional concentration option (if required):,Please choose an additional concentration option (if required):,Choose the temperature at which the final sample after processing will be stored before analysis:,Choose the temperature at which the final sample after processing will be stored before analysis:,Choose the temperature at which the final sample after processing will be stored before analysis:,Choose the temperature at which the final sample after processing will be stored before analysis:,Choose the general type of analysis to perform:,Choose the general type of analysis to perform:,Choose the general type of analysis to perform:,Choose the general type of analysis to perform:,Please choose the type of analysis:,Please choose the type of analysis:,Please choose the type of analysis:,Please choose the type of analysis:,Please select an option for this analysis:,Please select an option for this analysis:,Please select the perimeter of this analysis:,Please select the perimeter of this analysis:,Please select the perimeter of this analysis:,Please select the perimeter of this analysis:,Please choose the type of MS analysis:,Please choose the type of MS analysis:,Please choose the type of MS analysis:,Please choose a specific imaging technique:,Please choose a specific imaging technique:,Please choose a specific imaging technique:
,,,To characterize the composition of (all or specific) rhizodeposit fractions,To identify specific molecules in rhizodeposits,To quantify (all or specific) rhizodeposit amounts or rhizodeposition rates,To characterize the concentrations of rhizodeposits in the rhizosphere,To study the spatial evolution of rhizodeposition along roots,To collect (all or specific) rhizodeposits for bioassays,Other objective,All rhizodeposits without distinction,Root exudates,Root cap cells,Root mucilage,Root extracellular trap (RET),Root extracellular vesicles,Root Volatile Organic Compounds (VOC),Annual plants,Perennial plants (herbaceous),Perennial plants (ligneous),Other plant types,Seedling (< 1 week),Older plant at vegetative stage,Older plant at reproductive stage,Outside (uncontrolled),"Outside (semi-controlled, e.g. tunnels)",Greenhouse (semi-controlled),Growth chamber & phytotrons (fully-controlled),Native soil or reactive artificial soil (e.g. peat mix),"""Inert"" artificial soil (ex: perlite, vermiculite)",Pure sand or glass beads,Gel (ex: agar),Nutrient solution (hydroponics),Moist air (aeroponics),No separation between roots and growth substrate,Roots are isolated from the growth medium using a mesh membrane,Non-sterile conditions,Sterile (or monoxenic) conditions,"No water supply, no nutrient supply",Water supply without nutrient supply,Nutrient supply without water supply,Water supply and nutrient supply,No limitation of growth by the size of the container,Growth limited by pots/columns/lysimeters dimensions,Growth limited in 2D by plane rhizoboxes,Plastic,Ceramics,Glass,Metal,Solid medium (ex: soil),"Liquid medium (ex: soil solution, nutrient solution)",Gas medium (ex: air),"Collection of rhizospheric, reactive soil","Collection of the inert solid growth substrate (ex: sand, glass beads) ",Localized collection in rhizodeposition traps,Localized collection of the soil solution,Collection of a solution circulating through the solid growth substrate,Collection of the growth solution,Collection of rhizodeposits by introducing roots into an external solution,Aspiration of rhizodeposits (e.g. mucilage) at the surface of roots,Collection of VOC in the air,"No direct collection of rhizodeposit samples, i.e. indirect characterization (e.g. in situ observations)",Extraction with pure water,Extraction with a saline solution (ex: calcium chloride),Extraction with an organic solvent (ex: ethanol),Minutes,Hours,Days,Over the whole growing period,Plastic,Glass,Metal,Non-sterile conditions,Sterile (or monoxenic) conditions,Solid sample,Liquid sample,Gas sample,Sample division into subsamples,No subsampling,At -80 degree Celsius,At -20 degree Celsius,At +4 degree Celsius,At ambient temperature,Centrifugation,Filtration,No processing,Low-speed centrifugation,Ultracentrifugation,Flotation-gradient centrifugation,Filtration through paper filter (best: silica),Filtration through syringe filter (best: <0.20 µm),Concentrate the sample,Purify the sample (note: an addition concentration step may be selected afterwards),No concentration or purification of the sample,Lyophilisation,Evaporation under vacuum or nitrogen flow,Solid Phase Extraction,Liquid-Liquid Extraction,Dialysis,Lyophilisation,Evaporation under vacuum or nitrogen flow,No additional concentration step,At -80 degree Celsius,At -20 degree Celsius,At +4 degree Celsius,At ambient temperature,Analyzing the total dry mass of the sample,Quantifying concentrations in the sample,Identifying compounds in the sample,"Analyzing images (ex: cell counting, fluorescence signal)","Elemental C & N in solids (ex: CHNS, IRMS)",Dissolved organic C and/or dissolved N (ex : TOC analyzer),Group analysis by colorimetry (ex: carbohydrates with Dubois method),"Molecular analysis (ex: metabolites, nucleic acids)",Targeted analysis,Non-targeted analysis (omics),"Metabolomics (including lipidomics, peptidomics, and others)",Proteomics,Transcriptomics and genomics,Other omics approaches,GC-MS(-MS) (gas chromatography),LC-MS(-MS) (liquid chromatography),"Other methods (ex: FT-ICR, NMR, NIRS, UV spectrometry)",Counting (ex: flow cytometry),Localization of specific compounds & relative quantification,Other imaging techniques
SCIENTIFIC OBJECTIVES & QUESTIONS,What is your main objective?,To characterize the composition of (all or specific) rhizodeposit fractions,NA,NA,NA,NA,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Incompatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd
SCIENTIFIC OBJECTIVES & QUESTIONS,What is your main objective?,To identify specific molecules in rhizodeposits,NA,NA,NA,NA,NA,NA,NA,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Incompatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Incompatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Possible but odd,Possible but odd
SCIENTIFIC OBJECTIVES & QUESTIONS,What is your main objective?,To quantify (all or specific) rhizodeposit amounts or rhizodeposition rates,NA,NA,NA,NA,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Incompatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd
SCIENTIFIC OBJECTIVES & QUESTIONS,What is your main objective?,To characterize the concentrations of rhizodeposits in the rhizosphere,NA,NA,NA,NA,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Incompatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd
SCIENTIFIC OBJECTIVES & QUESTIONS,What is your main objective?,To study the spatial evolution of rhizodeposition along roots,NA,NA,NA,NA,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Incompatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd
SCIENTIFIC OBJECTIVES & QUESTIONS,What is your main objective?,To collect (all or specific) rhizodeposits for bioassays,NA,NA,NA,NA,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Incompatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd
SCIENTIFIC OBJECTIVES & QUESTIONS,What is your main objective?,Other objective,NA,NA,NA,NA,NA,NA,NA,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd
SCIENTIFIC OBJECTIVES & QUESTIONS,What is the fraction of rhizodeposits you intend to collect?,All rhizodeposits without distinction,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,NA,NA,NA,NA,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Possible but odd,Possible but odd,Possible but odd,Incompatible,Incompatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Incompatible,Possible but odd,Possible but odd,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Incompatible,Possible but odd,Fully compatible,Fully compatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Possible but odd
