"DO NOT MODIFY THIS SHEET UNLESS IT IS NECESSARY!
In column C, put the name of the worksheet containing the Supporting information for a given instruction.
In columns D, E, F, add text to be concatenated for writing a protocol.",,,,,,
,,,,,,
,[Text that may be dispayed in a UserForm - Not used anymore],"Name of the sheet in ""CARROT_SI.xlsx"" containing the Supporting information for a given instruction",Starting wrapping text,Middle wrapping text,Ending wrapping text,
SCIENTIFIC OBJECTIVES & QUESTIONS,What is your main objective?,Objective,The_main_objective_of_this_experiment_is_,to_characterize_the_composition_of_all_(or_specific)_rhizodeposit_fractions,",_","The_main_objective_of_this_experiment_is_to_characterize_the_composition_of_all_(or_specific)_rhizodeposit_fractions,_"
SCIENTIFIC OBJECTIVES & QUESTIONS,What is your main objective?,Objective,The_main_objective_of_this_experiment_is_,to_identify_specific_molecules_in_rhizodeposits,",_","The_main_objective_of_this_experiment_is_to_identify_specific_molecules_in_rhizodeposits,_"
SCIENTIFIC OBJECTIVES & QUESTIONS,What is your main objective?,Objective,The_main_objective_of_this_experiment_is_,to_quantify_all_(or_specific)_rhizodeposit_amounts_or_rhizodeposition_rates,",_","The_main_objective_of_this_experiment_is_to_quantify_all_(or_specific)_rhizodeposit_amounts_or_rhizodeposition_rates,_"
SCIENTIFIC OBJECTIVES & QUESTIONS,What is your main objective?,Objective,The_main_objective_of_this_experiment_is_,to_characterize_the_concentrations_of_rhizodeposits_in_the_rhizosphere,",_","The_main_objective_of_this_experiment_is_to_characterize_the_concentrations_of_rhizodeposits_in_the_rhizosphere,_"
SCIENTIFIC OBJECTIVES & QUESTIONS,What is your main objective?,Objective,The_main_objective_of_this_experiment_is_,to_study_the_spatial_or_temporal_evolution_of_rhizodeposition,",_","The_main_objective_of_this_experiment_is_to_study_the_spatial_or_temporal_evolution_of_rhizodeposition,_"
SCIENTIFIC OBJECTIVES & QUESTIONS,What is your main objective?,Objective,The_main_objective_of_this_experiment_is_,to_collect_(all_or_specific)_rhizodeposits_for_bioassays,",_","The_main_objective_of_this_experiment_is_to_collect_(all_or_specific)_rhizodeposits_for_bioassays,_"
SCIENTIFIC OBJECTIVES & QUESTIONS,What is your main objective?,Objective,The_main_objective_of_this_experiment_is_,undefined,._,The_main_objective_of_this_experiment_is_undefined._
SCIENTIFIC OBJECTIVES & QUESTIONS,What is the fraction of rhizodeposits you intend to collect?,Fraction,,without_any_distinction_by_rhizodeposit_types,._,without_any_distinction_by_rhizodeposit_types._
SCIENTIFIC OBJECTIVES & QUESTIONS,What is the fraction of rhizodeposits you intend to collect?,Fraction,by_targetting_the_analysis_of_,root_exudates,._,by_targetting_the_analysis_of_root_exudates._
SCIENTIFIC OBJECTIVES & QUESTIONS,What is the fraction of rhizodeposits you intend to collect?,Fraction,by_targetting_the_analysis_of_,root_cap_cells,._,by_targetting_the_analysis_of_root_cap_cells._
SCIENTIFIC OBJECTIVES & QUESTIONS,What is the fraction of rhizodeposits you intend to collect?,Fraction,by_targetting_the_analysis_of_,root_mucilage,._,by_targetting_the_analysis_of_root_mucilage._
SCIENTIFIC OBJECTIVES & QUESTIONS,What is the fraction of rhizodeposits you intend to collect?,Fraction,by_targetting_the_analysis_of_,root_extracellular_trap_(RET),._,by_targetting_the_analysis_of_root_extracellular_trap_(RET)._
SCIENTIFIC OBJECTIVES & QUESTIONS,What is the fraction of rhizodeposits you intend to collect?,Fraction,by_targetting_the_analysis_of_,root_extracellular_vesicles,._,by_targetting_the_analysis_of_root_extracellular_vesicles._
SCIENTIFIC OBJECTIVES & QUESTIONS,What is the fraction of rhizodeposits you intend to collect?,Fraction,by_targetting_the_analysis_of_,root_Volatile_Organic_Compounds_(VOC),._,by_targetting_the_analysis_of_root_Volatile_Organic_Compounds_(VOC)._
GROWTH CONDITIONS,What is the type of plant?,Plant type,,Annual_plants,_are_grown_,Annual_plants_are_grown_
GROWTH CONDITIONS,What is the type of plant?,Plant type,,Perennial_plants_(herbaceous),_are_grown_,Perennial_plants_(herbaceous)_are_grown_
GROWTH CONDITIONS,What is the type of plant?,Plant type,,Perennial_plants_(ligneous),_are_grown_,Perennial_plants_(ligneous)_are_grown_
GROWTH CONDITIONS,What is the type of plant?,Plant type,,Plants,_are_grown_,Plants_are_grown_
GROWTH CONDITIONS,What will be the age of the plant at the time of sampling?,Plant age,,over_seedling_stage_(<_1_week),_,over_seedling_stage_(<_1_week)_
GROWTH CONDITIONS,What will be the age of the plant at the time of sampling?,Plant age,,over_vegetative_stage,_,over_vegetative_stage_
GROWTH CONDITIONS,What will be the age of the plant at the time of sampling?,Plant age,,up_to_reproductive_stage,_,up_to_reproductive_stage_
GROWTH CONDITIONS,Please select a climate control option:,Climate control,,outside_without_any_climate_control,._,outside_without_any_climate_control._
GROWTH CONDITIONS,Please select a climate control option:,Climate control,,outside_in_semi-controlled_climate_conditions,._,outside_in_semi-controlled_climate_conditions._
GROWTH CONDITIONS,Please select a climate control option:,Climate control,,in_a_greenhouse,._,in_a_greenhouse._
GROWTH CONDITIONS,Please select a climate control option:,Climate control,,in_a_growth_chamber,._,in_a_growth_chamber._
GROWTH CONDITIONS,Please define the growth substrate:,Growth substrate,,Soil,_is_used_to_grow_plants_,Soil_is_used_to_grow_plants_
GROWTH CONDITIONS,Please define the growth substrate:,Growth substrate,,"Inert_artificial_soil_(ex:_perlite,_vermiculite)",_is_used_to_grow_plants_,"Inert_artificial_soil_(ex:_perlite,_vermiculite)_is_used_to_grow_plants_"
GROWTH CONDITIONS,Please define the growth substrate:,Growth substrate,,Pure_sand_or_glass_beads,_is_used_to_grow_plants_,Pure_sand_or_glass_beads_is_used_to_grow_plants_
GROWTH CONDITIONS,Please define the growth substrate:,Growth substrate,,Gel_(ex:_agar),_is_used_to_grow_plants_,Gel_(ex:_agar)_is_used_to_grow_plants_
GROWTH CONDITIONS,Please define the growth substrate:,Growth substrate,,Solution_(hydroponics),_is_used_to_grow_plants_,Solution_(hydroponics)_is_used_to_grow_plants_
GROWTH CONDITIONS,Please define the growth substrate:,Growth substrate,,Moist_air_(aeroponics),_is_used_to_grow_plants_,Moist_air_(aeroponics)_is_used_to_grow_plants_
GROWTH CONDITIONS,Have you considered separating the roots from the growth substrate using a permeable mesh membrane?,Direct contact,,,,
GROWTH CONDITIONS,Have you considered separating the roots from the growth substrate using a permeable mesh membrane?,Direct contact,,(using_a_permeable_mesh_membrane_to_isolate_roots_from_the_growth_medium),_,(using_a_permeable_mesh_membrane_to_isolate_roots_from_the_growth_medium)_
GROWTH CONDITIONS,Do you intend to work in sterile conditions?,Sterility - Growth,,in_non-sterile_conditions,._,in_non-sterile_conditions._
GROWTH CONDITIONS,Do you intend to work in sterile conditions?,Sterility - Growth,,in_sterile_(or_monoxenic)_conditions,._,in_sterile_(or_monoxenic)_conditions._
GROWTH CONDITIONS,Do you intend to irrigate and/or fertilize the plants?,Irrigation - Nutrition,,WATCH_OUT:_no_irrigation_or_fertilization_will_be_implemented_over_plant_growth.,_,WATCH_OUT:_no_irrigation_or_fertilization_will_be_implemented_over_plant_growth._
GROWTH CONDITIONS,Do you intend to irrigate and/or fertilize the plants?,Irrigation - Nutrition,,"Plants_will_be_irrigated_over_time,_but_no_external_nutrients_will_be_added.",_,"Plants_will_be_irrigated_over_time,_but_no_external_nutrients_will_be_added._"
GROWTH CONDITIONS,Do you intend to irrigate and/or fertilize the plants?,Irrigation - Nutrition,,"Plants_will_benefit_from_fertilizers,_but_will_not_be_irrigated.",_,"Plants_will_benefit_from_fertilizers,_but_will_not_be_irrigated._"
GROWTH CONDITIONS,Do you intend to irrigate and/or fertilize the plants?,Irrigation - Nutrition,,Plants_will_be_irrigated_and_fertilized_over_time.,_,Plants_will_be_irrigated_and_fertilized_over_time._
GROWTH CONDITIONS,Does the container cause any root physical constraints?,Physical constraints,,,,
GROWTH CONDITIONS,Does the container cause any root physical constraints?,Physical constraints,,"WATCH_OUT:_plant_growth_may_be_limited_by_the_dimensions_of_the_growth_container,_which_may_affect_plant_rhizodeposition.",_,"WATCH_OUT:_plant_growth_may_be_limited_by_the_dimensions_of_the_growth_container,_which_may_affect_plant_rhizodeposition._"
GROWTH CONDITIONS,Does the container cause any root physical constraints?,Physical constraints,,"WATCH_OUT:_root_growth_may_be_physically_constrained_in_2D,_which_may_affect_plant_rhizodeposition.",_,"WATCH_OUT:_root_growth_may_be_physically_constrained_in_2D,_which_may_affect_plant_rhizodeposition._"
GROWTH CONDITIONS,What is the material of the container?,Material - Growth container,,WATCH_OUT:_the_container_material_(plastic)_may_lead_to_rhizodeposits_retention_or_contamination.,_,WATCH_OUT:_the_container_material_(plastic)_may_lead_to_rhizodeposits_retention_or_contamination._
GROWTH CONDITIONS,What is the material of the container?,Material - Growth container,,No_risk_of_rhizodeposits_alteration_due_to_the_container_material_(ceramics)_is_expected.,_,No_risk_of_rhizodeposits_alteration_due_to_the_container_material_(ceramics)_is_expected._
GROWTH CONDITIONS,What is the material of the container?,Material - Growth container,,No_risk_of_rhizodeposits_alteration_due_to_the_container_material_(glass)_is_expected.,_,No_risk_of_rhizodeposits_alteration_due_to_the_container_material_(glass)_is_expected._
GROWTH CONDITIONS,What is the material of the container?,Material - Growth container,,No_risk_of_rhizodeposits_alteration_due_to_the_container_material_(metal)_is_expected.,_,No_risk_of_rhizodeposits_alteration_due_to_the_container_material_(metal)_is_expected._
SAMPLING RHIZODEPOSITS,What will be the phase in which the sample will be collected?,Sampling phase,Sampling_is_done_in_the_,solid_medium,_,Sampling_is_done_in_the_solid_medium_
SAMPLING RHIZODEPOSITS,What will be the phase in which the sample will be collected?,Sampling phase,Sampling_is_done_in_the_,liquid_medium,_,Sampling_is_done_in_the_liquid_medium_
SAMPLING RHIZODEPOSITS,What will be the phase in which the sample will be collected?,Sampling phase,Sampling_is_done_in_the_,gas_medium,_,Sampling_is_done_in_the_gas_medium_
SAMPLING RHIZODEPOSITS,Which technique do you intend to use for collecting the rhizodeposits?,Collection technique,,by_collecting_rhizospheric_soil,_,by_collecting_rhizospheric_soil_
SAMPLING RHIZODEPOSITS,Which technique do you intend to use for collecting the rhizodeposits?,Collection technique,,by_collecting_the_inert_solid_growth_substrate_(ex:_sand)_,_,by_collecting_the_inert_solid_growth_substrate_(ex:_sand)__
SAMPLING RHIZODEPOSITS,Which technique do you intend to use for collecting the rhizodeposits?,Collection technique,,by_collecting_rhizodeposits_in_rhizodeposit_traps,_,by_collecting_rhizodeposits_in_rhizodeposit_traps_
SAMPLING RHIZODEPOSITS,Which technique do you intend to use for collecting the rhizodeposits?,Collection technique,,by_sampling_the_soil_solution_locally,_,by_sampling_the_soil_solution_locally_
SAMPLING RHIZODEPOSITS,Which technique do you intend to use for collecting the rhizodeposits?,Collection technique,,by_collecting_rhizodeposits_in_the_water_percolating_through_the_growth_substrate,_,by_collecting_rhizodeposits_in_the_water_percolating_through_the_growth_substrate_
SAMPLING RHIZODEPOSITS,Which technique do you intend to use for collecting the rhizodeposits?,Collection technique,,by_collecting_the_growth_solution,_,by_collecting_the_growth_solution_
SAMPLING RHIZODEPOSITS,Which technique do you intend to use for collecting the rhizodeposits?,Collection technique,,by_introducing_roots_into_an_external_solution,_,by_introducing_roots_into_an_external_solution_
SAMPLING RHIZODEPOSITS,Which technique do you intend to use for collecting the rhizodeposits?,Collection technique,,by_sucking_up_rhizodeposits_(e.g._mucilage)_at_the_surface_of_roots,_,by_sucking_up_rhizodeposits_(e.g._mucilage)_at_the_surface_of_roots_
SAMPLING RHIZODEPOSITS,Which technique do you intend to use for collecting the rhizodeposits?,Collection technique,,by_collecting_VOC_in_the_air,_,by_collecting_VOC_in_the_air_
SAMPLING RHIZODEPOSITS,Which technique do you intend to use for collecting the rhizodeposits?,Collection technique,,,,
SAMPLING RHIZODEPOSITS,Which technique do you intend to use for collecting the rhizodeposits?,Extraction solution,(,pure_water,)_,(pure_water)_
SAMPLING RHIZODEPOSITS,Which technique do you intend to use for collecting the rhizodeposits?,Extraction solution,(,saline_solution,)_,(saline_solution)_
SAMPLING RHIZODEPOSITS,Which technique do you intend to use for collecting the rhizodeposits?,Extraction solution,(,organic_solvent,)_,(organic_solvent)_
SAMPLING RHIZODEPOSITS,What will be the duration over which sample will be collected?,Collection duration,,over_a_few_minutes,_,over_a_few_minutes_
SAMPLING RHIZODEPOSITS,What will be the duration over which sample will be collected?,Collection duration,,over_several_hours,_,over_several_hours_
SAMPLING RHIZODEPOSITS,What will be the duration over which sample will be collected?,Collection duration,,over_several_days,_,over_several_days_
SAMPLING RHIZODEPOSITS,What will be the duration over which sample will be collected?,Collection duration,,over_the_whole_growing_period,_,over_the_whole_growing_period_
SAMPLING RHIZODEPOSITS,What will be the type of materials used to collect rhizodeposits?,Material - Labware,,"in_plastic_labware_-_WATCH_OUT_for_interactions_between_the_sample_and_the_plastic_material,_and_use_only_high-quality_polypropylene_or_PTFE",!_,"in_plastic_labware_-_WATCH_OUT_for_interactions_between_the_sample_and_the_plastic_material,_and_use_only_high-quality_polypropylene_or_PTFE!_"
SAMPLING RHIZODEPOSITS,What will be the type of materials used to collect rhizodeposits?,Material - Labware,,using_glass_labware,._,using_glass_labware._
SAMPLING RHIZODEPOSITS,What will be the type of materials used to collect rhizodeposits?,Material - Labware,,using_metal_labware,._,using_metal_labware._
SAMPLING RHIZODEPOSITS,Do you intend to collect rhizodepositions in sterile conditions?,Sterility - Collection,,Note_that_rhizodeposits_are_not_collected_in_sterile_conditions.,_,Note_that_rhizodeposits_are_not_collected_in_sterile_conditions._
